Ti,Zr,W,PTFE,Tdensity,Adensity,MS_Velocity,RL_Constant,GibbThom_Coef,Coeff_Thermal_Exp,SHC_Const_Press,CEP_Q,CEP_q,AC_material_weight,TD_weight,Measure_Velocity,Residual_Velocity,Impact_Pressure,Impact_Temp_Rise,Overpressure,React_Efficiency
32.0,0.0,0,68.0,2.584,2.47,2.646,1.604,0.657,26.995,1.094,8.834,11.09,1.87,6.43,836,740.13,5.321,670.80291,0.0094,0.866
32.0,0.0,0,68.0,2.584,2.47,2.646,1.604,0.657,26.995,1.094,8.834,11.09,1.87,6.41,994,896.24,6.739,821.46766,0.018,2.759
32.0,0.0,0,68.0,2.584,2.47,2.646,1.604,0.657,26.995,1.094,8.834,11.09,1.9,6.41,1086,987.32,7.611,922.15421,0.029,5.86
32.0,0.0,0,68.0,2.584,2.47,2.646,1.604,0.657,26.995,1.094,8.834,11.09,1.87,6.48,1136,1029.7,8.028,972.40638,0.039,8.657
32.0,0.0,0,68.0,2.584,2.47,2.646,1.604,0.657,26.995,1.094,8.834,11.09,1.86,6.49,1295,1186.1,9.628,1177.48433,0.0804,29.103
32.0,0.0,0,68.0,2.584,2.47,2.646,1.604,0.657,26.995,1.094,8.834,11.09,1.9,6.42,1453,1331.8,11.203,1397.71227,0.115,46.916
28.8,0.0,10,61.2,2.829,2.748,2.785,1.566,0.663,26.61,0.997,11.108,10.63,2.14,6.6,641,549.4,4.163,519.98652,0.005,0.0
28.8,0.0,10,61.2,2.829,2.748,2.785,1.566,0.663,26.61,0.997,11.108,10.63,2.11,6.68,824,731.49,5.838,658.03429,0.014,3.303
28.8,0.0,10,61.2,2.829,2.748,2.785,1.566,0.663,26.61,0.997,11.108,10.63,2.2,6.68,932,838.4,6.887,754.53909,0.03,9.76
28.8,0.0,10,61.2,2.829,2.748,2.785,1.566,0.663,26.61,0.997,11.108,10.63,2.21,6.67,1148,1042.2,9.017,973.2411,0.033,5.087
28.8,0.0,10,61.2,2.829,2.748,2.785,1.566,0.663,26.61,0.997,11.108,10.63,2.19,6.67,1212,1103.6,9.69,1048.43105,0.059,18.481
28.8,0.0,10,61.2,2.829,2.748,2.785,1.566,0.663,26.61,0.997,11.108,10.63,2.2,6.67,1280,1171.8,10.458,1137.66729,0.09,32.245
24.0,0.0,25,51.0,3.298,3.222,2.993,1.509,0.675,25.88,0.853,15.831,9.948,2.32,6.92,567,474.9,4.141,490.02758,0.0013,0.0
24.0,0.0,25,51.0,3.298,3.222,2.993,1.509,0.675,25.88,0.853,15.831,9.948,2.38,6.93,775,676.1,6.209,639.52278,0.0231,8.673
24.0,0.0,25,51.0,3.298,3.222,2.993,1.509,0.675,25.88,0.853,15.831,9.948,2.37,7.04,1150,1048.2,10.5,1036.83823,0.0352,6.945
24.0,0.0,25,51.0,3.298,3.222,2.993,1.509,0.675,25.88,0.853,15.831,9.948,2.39,7.01,1195,1092.0,11.045,1095.0472,0.046,12.983
24.0,0.0,25,51.0,3.298,3.222,2.993,1.509,0.675,25.88,0.853,15.831,9.948,2.26,6.75,1250,1142.7,11.685,1165.49557,0.0732,29.966
24.0,0.0,25,51.0,3.298,3.222,2.993,1.509,0.675,25.88,0.853,15.831,9.948,2.41,6.9,1325,1213.3,12.595,1269.47567,0.092,36.44
24.0,0.0,25,51.0,3.298,3.222,2.993,1.509,0.675,25.88,0.853,15.831,9.948,2.37,6.85,1438,1324.5,14.069,1447.07624,0.131,59.257
16.0,0.0,50,34.0,4.559,4.507,3.341,1.415,0.71,23.79,0.613,30.027,8.854,3.51,7.94,713,628.8,7.648,622.80972,0.0135,4.901
16.0,0.0,50,34.0,4.559,4.507,3.341,1.415,0.71,23.79,0.613,30.027,8.854,3.24,7.71,806,724.8,8.989,709.68216,0.03,13.866
16.0,0.0,50,34.0,4.559,4.507,3.341,1.415,0.71,23.79,0.613,30.027,8.854,3.34,7.77,972,879.5,11.242,873.95548,0.0438,18.722
16.0,0.0,50,34.0,4.559,4.507,3.341,1.415,0.71,23.79,0.613,30.027,8.854,3.34,8.0,1092,1000.8,13.091,1025.10381,0.0665,29.385
16.0,0.0,50,34.0,4.559,4.507,3.341,1.415,0.71,23.79,0.613,30.027,8.854,3.5,8.03,1125,1034.7,13.619,1070.84909,0.0699,30.001
16.0,0.0,50,34.0,4.559,4.507,3.341,1.415,0.71,23.79,0.613,30.027,8.854,3.36,7.9,1155,1062.3,14.082,1111.8812,0.0734,30.354
16.0,0.0,50,34.0,4.559,4.507,3.341,1.415,0.71,23.79,0.613,30.027,8.854,3.29,7.78,1263,1178.3,15.921,1283.10181,0.0865,39.058
16.0,0.0,50,34.0,4.559,4.507,3.341,1.415,0.71,23.79,0.613,30.027,8.854,3.34,7.95,1420,1317.6,18.25,1518.04759,0.116,53.984
8.0,0.0,75,17.0,7.38,7.282,3.688,1.321,0.802,19.26,0.373,64.51,7.821,5.24,9.71,635,565.6,9.602,589.44075,0.0063,1.004
8.0,0.0,75,17.0,7.38,7.282,3.688,1.321,0.802,19.26,0.373,64.51,7.821,5.45,10.11,756,692.7,12.019,703.38777,0.02,9.06
8.0,0.0,75,17.0,7.38,7.282,3.688,1.321,0.802,19.26,0.373,64.51,7.821,5.39,9.42,970,900.7,16.181,937.25906,0.03,12.84
8.0,0.0,75,17.0,7.38,7.282,3.688,1.321,0.802,19.26,0.373,64.51,7.821,5.72,9.76,1060,992.1,18.09,1059.53084,0.051,23.34
8.0,0.0,75,17.0,7.38,7.282,3.688,1.321,0.802,19.26,0.373,64.51,7.821,5.65,10.11,1160,1083.5,20.049,1194.26328,0.0719,35.028
8.0,0.0,75,17.0,7.38,7.282,3.688,1.321,0.802,19.26,0.373,64.51,7.821,5.56,10.0,1222,1143.6,21.365,1289.84716,0.0749,37.779
8.0,0.0,75,17.0,7.38,7.282,3.688,1.321,0.802,19.26,0.373,64.51,7.821,5.57,10.2,1302,1226.7,23.218,1431.10166,0.0976,51.37
0.0,47.64,0,52.36,3.157,2.979,2.686,1.37,0.631,25.297,0.847,14.723,8.313,2.26,6.77,642,552.4,4.274,559.69359,0.0072,0.9703
0.0,47.64,0,52.36,3.157,2.979,2.686,1.37,0.631,25.297,0.847,14.723,8.313,2.32,7.08,818,730.2,5.835,706.91632,0.0137,2.535
0.0,47.64,0,52.36,3.157,2.979,2.686,1.37,0.631,25.297,0.847,14.723,8.313,2.31,6.69,965,861.7,7.222,855.24414,0.0427,12.859
0.0,47.64,0,52.36,3.157,2.979,2.686,1.37,0.631,25.297,0.847,14.723,8.313,2.21,6.84,1130,1026.8,8.951,1061.61887,0.0668,22.01
0.0,47.64,0,52.36,3.157,2.979,2.686,1.37,0.631,25.297,0.847,14.723,8.313,2.27,6.85,1224,1118.5,9.957,1192.01148,0.1208,42.945
0.0,47.64,0,52.36,3.157,2.979,2.686,1.37,0.631,25.297,0.847,14.723,8.313,2.29,6.74,1250,1153.9,10.354,1245.4652,0.1284,45.878
0.0,42.88,10,47.12,3.446,3.384,2.821,1.356,0.638,24.785,0.776,17.998,8.157,2.46,6.5,673,573.95,5.073,564.82764,0.0064,0.6302
0.0,42.88,10,47.12,3.446,3.384,2.821,1.356,0.638,24.785,0.776,17.998,8.157,2.45,6.51,862,759.44,7.022,728.90327,0.0175,4.385
0.0,42.88,10,47.12,3.446,3.384,2.821,1.356,0.638,24.785,0.776,17.998,8.157,2.41,6.92,1009,908.95,8.698,892.31299,0.0365,10.845
0.0,42.88,10,47.12,3.446,3.384,2.821,1.356,0.638,24.785,0.776,17.998,8.157,2.47,6.5,1100,992.83,9.679,996.93021,0.0503,14.483
0.0,42.88,10,47.12,3.446,3.384,2.821,1.356,0.638,24.785,0.776,17.998,8.157,2.49,7.0,1190,1087.6,10.822,1126.75911,0.0738,22.238
0.0,42.88,10,47.12,3.446,3.384,2.821,1.356,0.638,24.785,0.776,17.998,8.157,2.53,7.06,1335,1230.0,12.608,1345.8876,0.0903,27.754
0.0,42.88,10,47.12,3.446,3.384,2.821,1.356,0.638,24.785,0.776,17.998,8.157,2.5,6.93,1420,1306.6,13.603,1476.16751,0.1289,45.187
0.0,35.73,25,39.27,3.993,3.947,3.023,1.334,0.653,23.91,0.669,24.532,7.913,2.92,7.4,600,512.55,5.205,527.23127,0.014,5.643
0.0,35.73,25,39.27,3.993,3.947,3.023,1.334,0.653,23.91,0.669,24.532,7.913,2.95,7.47,739,649.61,6.802,637.03069,0.035,13.516
0.0,35.73,25,39.27,3.993,3.947,3.023,1.334,0.653,23.91,0.669,24.532,7.913,2.93,7.42,1035,939.59,10.458,947.54398,0.0466,15.286
0.0,35.73,25,39.27,3.993,3.947,3.023,1.334,0.653,23.91,0.669,24.532,7.913,2.92,7.38,1229,1129.6,13.054,1213.51973,0.1005,35.274
0.0,35.73,25,39.27,3.993,3.947,3.023,1.334,0.653,23.91,0.669,24.532,7.913,2.94,7.35,1368,1265.8,15.011,1436.69677,0.1357,49.183
0.0,23.82,50,26.18,5.429,5.309,3.361,1.299,0.694,21.697,0.49,42.4908,7.5421,3.95,8.35,650,575.8,7.685,609.18919,0.0118,3.432
0.0,23.82,50,26.18,5.429,5.309,3.361,1.299,0.694,21.697,0.49,42.4908,7.5421,3.99,8.53,800,725.8,9.961,753.58467,0.0246,8.394
0.0,23.82,50,26.18,5.429,5.309,3.361,1.299,0.694,21.697,0.49,42.4908,7.5421,3.96,7.83,995,905.0,12.828,966.7791,0.0475,17.418
